update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
296,0.9303414169698954,0.78515625,0.8987091419097746,0.6878047546646125,9.412109375,0.8359164375037351,0.09835636243224144,0.096482374505942,402,16,242,12,60,0,0,0.2782856819230759,0.7561611338903359,0.4820685915746319,0.7052806108174509,0,0.0,0,0.0,0.0,3.390694737434387,0.4999220669269562,2.890438288450241,0.00039750328882369137
304,0.7259480366483331,0.74609375,0.8645052755346873,0.6344826625287026,9.208984375,0.7791350709935241,0.09425868274411187,0.09149264313376859,382,7,234,10,41,0,0,0.2626175972813205,0.762822910475947,0.4590661101872535,0.7071432502065722,0,0.0,0,0.0,0.0,3.32078817486763,0.5149651765823364,2.8053113520145416,0.0003974360268676277
312,0.67376440713997,0.720703125,0.8605413683538683,0.5896761025138042,9.111328125,0.8235509384067278,0.13050061685498804,0.1293270502204146,369,10,182,8,53,0,0,0.24775479784998708,0.7680644875257003,0.43657597278105575,0.7098016254008559,0,0.0,0,0.0,0.0,3.2325503826141357,0.5141529142856598,2.717816710472107,0.0003973687762930314
320,0.5084221933830122,0.685546875,0.857842438164528,0.5024497423690972,9.37109375,0.7060648270314174,0.08434676105389372,0.08646944511383879,351,17,161,5,66,0,0,0.23339372210385576,0.7685812599989558,0.4145936988488602,0.7104141764076801,0,0.0,0,0.0,0.0,3.5834763050079346,0.5360715389251709,3.047029584646225,0.00039730153709797674
328,0.15533816703828052,0.6484375,0.8079851772955221,0.48391320313860886,9.529296875,0.8256434930825975,0.10508978983853012,0.10466727924218952,332,14,117,24,78,0,0,0.22234708677225087,0.7726614081669463,0.39712307016515025,0.7108502404686846,0,0.0,0,0.0,0.0,3.3791564404964447,0.5603726804256439,2.8183219134807587,0.00039723430928053803
336,0.43749614208354615,0.61328125,0.6989122213513694,0.5337962962962963,15.705078125,1.1597559635424495,0.10891475512471516,0.11740766908294896,314,64,131,92,146,0,0,0.22032188156271967,0.7693808384249954,0.3930528022848815,0.7104392801160415,0,0.0,0,0.0,0.0,5.615717053413391,0.9795092642307281,4.635750561952591,0.0003971670928387901
344,0.5868122088722885,0.73828125,0.8030708683578702,0.6830592264590567,15.767578125,1.4324386826425246,0.0842797854456876,0.08946374855648295,378,45,168,73,119,0,0,0.21511748657114402,0.7666411149607715,0.38501564722677584,0.70943280862117,0,0.0,0,0.0,0.0,5.691854685544968,1.0140570402145386,4.677480489015579,0.00039709988777080813
352,1.1623894039075822,0.806640625,0.8240379918676985,0.7905237533288255,16.763671875,1.825615407258955,0.07912029367071227,0.07990030989892134,413,54,224,119,84,0,0,0.2123805069143758,0.7570894097626115,0.38042902675795,0.7064054521920052,0,0.0,0,0.0,0.0,6.049749910831451,1.0285326540470123,5.020866304636002,0.0003970326940746675
360,1.0885606538504362,0.791015625,0.8102226143314539,0.7727847681955187,18.447265625,1.9401470651931647,0.06615725017036311,0.06622537827253197,405,118,223,111,75,0,0,0.20988615919632142,0.7350928927033697,0.3761590583080042,0.6988156772181209,0,0.0,0,0.0,0.0,6.509249359369278,1.0473178625106812,5.461576700210571,0.0003969655117484439
368,0.9904315992353077,0.818359375,0.8782904332904333,0.7575493338360986,18.66796875,1.5876093132367606,0.06570598973485176,0.06902733549087872,419,94,232,70,61,0,0,0.20378118764788064,0.7146272848221592,0.3681412221073713,0.6900147917151934,0,0.0,0,0.0,0.0,6.564712673425674,1.0759121775627136,5.488502413034439,0.0003968983407902135
376,0.8198326684068888,0.806640625,0.7932921119919831,0.816944084503679,18.408203125,1.483673589053574,0.0501750907569658,0.05078988348821485,413,112,235,54,65,0,0,0.19670832397993335,0.6931599236157683,0.356138061830212,0.6805760512094177,0,0.0,0,0.0,0.0,6.440820723772049,1.0315287411212921,5.408975690603256,0.0003968311811980527
384,0.834664634312503,0.837890625,0.8169430631031196,0.8671069902319903,21.51171875,1.2130053010356712,0.05925906049014884,0.05862636026169525,429,202,224,53,52,0,0,0.19001870615138092,0.6636363738890051,0.345234546218833,0.6667799713987241,0,0.0,0,0.0,0.0,7.598524481058121,1.1294787228107452,6.468665033578873,0.00039676403297003824
392,1.0035601278068498,0.822265625,0.829263422895236,0.8173061882890054,25.95703125,1.528469345797519,0.07803824685470317,0.0784629488985925,421,304,219,112,64,0,0,0.18887850848788656,0.6339875368386674,0.3424986424332258,0.6512983274666784,0,0.0,0,0.0,0.0,8.936030179262161,1.4641013145446777,7.471501171588898,0.00039669689610424705
400,0.7790288247924764,0.75,0.7594832296922704,0.7360515189987631,24.587890625,1.7923926825582042,0.04485567208394059,0.04541199750746794,384,248,199,58,100,0,0,0.1839383451375873,0.6129840964357633,0.3356787931981845,0.6392340960715716,0,0.0,0,0.0,0.0,8.39274263381958,1.3343394100666046,7.057987153530121,0.00039662977059875675
408,0.8039411052304786,0.80078125,0.7881910314740603,0.8090606264885951,31.1015625,1.370586306721882,0.0454248693313275,0.04497118624578142,410,326,146,63,89,0,0,0.179840610311946,0.588973088632376,0.3281023461572875,0.625191159018624,0,0.0,0,0.0,0.0,10.508961468935013,1.7365666329860687,8.771991908550262,0.0003965626564516449
416,0.6351152105912661,0.75,0.7616119043641862,0.7379669884604095,29.91015625,1.4496149067419717,0.045136918705793505,0.04102074842424386,384,330,138,56,103,0,0,0.17648233783397618,0.5673698032991468,0.32268868132999984,0.6116266235848831,0,0.0,0,0.0,0.0,10.164391487836838,1.7325542271137238,8.431533843278885,0.0003964955536609895
424,0.7536229011020623,0.783203125,0.8216975106007511,0.7484917859917859,32.71484375,1.3829682538921673,0.03735633184987819,0.034561445661732804,401,389,141,78,80,0,0,0.17386179912157118,0.5432085517986283,0.3166033807552032,0.5955849080280409,0,0.0,0,0.0,0.0,11.040122628211975,1.8706386387348175,9.16914913058281,0.00039642846222486905
432,0.5993740287776745,0.71875,0.771648655337403,0.6668402162353776,27.296875,1.5118934874472623,0.06207217507835594,0.059428707599333185,368,283,120,73,79,0,0,0.1712572090119123,0.5243648339474567,0.3138541847907581,0.5812665006036319,0,0.0,0,0.0,0.0,9.288102835416794,1.5910211205482483,7.696759432554245,0.00039636138214136214
440,0.536864103138214,0.73828125,0.7620678909965088,0.7228225659874691,36.56640625,1.0879489224194114,0.04443063153348703,0.04038099910570479,378,460,98,61,79,0,0,0.16846931934586717,0.5017609036578599,0.3095720031328011,0.5654254605804319,0,0.0,0,0.0,0.0,12.348616927862167,2.175944358110428,10.172354578971863,0.0003962943134085478
448,0.48095142804959323,0.720703125,0.7265137922769667,0.7135959537774054,34.16796875,1.2521143348061017,0.04177742368165127,0.039824731519991656,369,420,91,65,107,0,0,0.16621921185906136,0.48360772027173404,0.30412713979608874,0.5519037469047936,0,0.0,0,0.0,0.0,11.833993673324585,2.020035058259964,9.813612937927246,0.0003962272560245054
456,0.641086857256596,0.748046875,0.763186553030303,0.7347080963688776,34.203125,1.3023980520509109,0.047240486468581366,0.044163086814563005,383,457,100,90,91,0,0,0.16592988981157283,0.4644232549526925,0.3024637612759602,0.5371581042136264,0,0.0,0,0.0,0.0,11.744280844926834,2.1808422207832336,9.56310486793518,0.00039616020998731454
464,0.5588841460994445,0.734375,0.7530379832291254,0.7120750044744946,38.703125,1.2577070121351475,0.03312337446914171,0.030651481625449152,376,515,57,49,99,0,0,0.16202949556780147,0.4461268899862085,0.2996425164713181,0.5215714760591236,0,0.0,0,0.0,0.0,13.093889743089676,2.333085536956787,10.760497361421585,0.00039609317529505525
472,0.6621141883433665,0.74609375,0.7545680860510349,0.7343480668361152,47.380859375,1.2940998585959242,0.0312539502101572,0.02957986261199062,382,710,69,112,81,0,0,0.1651145814285252,0.4253500977361201,0.30343280890282687,0.5041984490084519,0,0.0,0,0.0,0.0,16.00317022204399,2.9526566863059998,13.050157457590103,0.0003960261519458079
480,0.49745049576449674,0.701171875,0.7227328705776981,0.6813246203021607,46.06640625,1.3774987646126053,0.035391307617487655,0.033144871546878125,359,698,51,71,99,0,0,0.16426705361224003,0.40719635152355654,0.30084068186298996,0.4884177198292091,0,0.0,0,0.0,0.0,15.623299032449722,2.9554677307605743,12.667531430721283,0.00039595913993765297
488,0.6893198829511675,0.751953125,0.7619788200406781,0.7397454941572589,44.4375,1.3805890197757578,0.030518864852638217,0.028376306859999263,385,669,52,66,74,0,0,0.16259696449304537,0.3887728188546897,0.2990494945907254,0.47142004533563453,0,0.0,0,0.0,0.0,15.067723214626312,2.8497983515262604,12.217592865228653,0.0003958921392686716
496,0.6235455811984139,0.724609375,0.7750750593492528,0.670931021090052,39.560546875,1.389833622020173,0.030761985206481768,0.028910250093649482,371,612,49,76,74,0,0,0.16218660153129189,0.37173923996831143,0.29832371735396856,0.4563786653279729,0,0.0,0,0.0,0.0,13.464416831731796,2.570681005716324,10.893413811922073,0.00039582514993694495
